program_id,category,location,date_aired,speaker_name,speaker_party,speaker_state,speaker_office,syntactic_category,determiner,data_point,full_sentence
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,a,republican,a_DT Republican_JJ
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrat,the_DT Democrat_NNP
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats,The_DT Democrats_NNPS
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,both,democrats,both_DT Democrats_NNPS
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,both,democrats,both_DT Democrats_NNPS
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republican,the_DT Republican_NNP
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republicans,the_DT Republicans_NNPS
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,DT,the,republican,the_DT Republican_JJ
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,republican,the_DT Republican_JJ
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,a,republican,a_DT Republican_JJ
